name,alternativename,primaryvalue,subcategory,category,type,highlight,metric_001,metric_002,metric_003,metric_004,notes,exclude,,,firstsource,secondsource,thirdsource,,,,,,,,,,,,,,,,,,,,
quinoa,,0,general health,general health,grain / pulse,,5054,0,134,,High nutritional value but few trials.,,,"2010: Quinoa is an excellent example of ‘functional food’. Functional properties are given also by minerals, vitamins, fatty acids and antioxidants that can make a strong contribution to human nutrition, particularly to protect cell membranes, with proven good results in brain neuronal functions. 2009: Quinoa has shown a high nutritional value and only recently is being used as a novel functional food. A single 1997 study tested it against other cereals to determine which allowed the best iron absorption among infants. Otherwise no human trials.",,,http://www.ncbi.nlm.nih.gov/pubmed/20814881,,,,,,,Vega-Gálvez et al 2010,,http://www.ncbi.nlm.nih.gov/pubmed/19878856,,,,,,,,,,,
raspberries,,1,"cardiovascular disease, cancer",general health,fruit,OTW,8905,1,185,,,,,"Overall, there is a need for human intervention studies with whole red raspberries to confirm the observations made with individual components of these berries. Although impressive advances have been made over the past decades, several key areas remain to be explored.",,,http://www.ncbi.nlm.nih.gov/pubmed/20178390,,,,,1,,Rao and Snyder 2010,,,,,,,,,,,,,
red wine,,3,cardiovascular disease,cardio,plant extract,,9772,3,229,,"Moderate drinking of red wine reduces cardiovascular risk, including artery-thickening (atherosclerosis) and heart disease (ischemic). Obviously, there are additional risks involved in drinking alcohol.",,,"2009: Epidemiological and experimental studies have revealed that a mild to moderate drinking of wine, particularly red wine, attenuates the cardiovascular, cerebrovascular, and peripheral vascular risk. Both wines and grapes can attenuate cardiac diseases such as atherosclerosis and ischemic heart disease. 2007: In view of the potential risks, cautious view about the beneficial effects is warranted. 2001: Evidence from epidemiologic and experimental studies suggests a protective effect against CVD. ",,,http://www.ncbi.nlm.nih.gov/pubmed/19770673,,100%,,,3,3,Bertelli and Das 2009,,http://www.ncbi.nlm.nih.gov/pubmed/17936508,http://www.ncbi.nlm.nih.gov/pubmed/11340089,,,,,,,,,,
reishi mushroom,Ganoderma lucidum,3,cancer treatment,cancer,fungus,,1196,5,42,,"Analysis of trials did not find sufficient evidence to justify the use of Reishi as a first-line cancer treatment. However, it could be used to boost anti-tumour responses and immune system.",,,"2012 Cochrane review: Our review (5 RCTs, 373 patients) did not find sufficient evidence to justify the use of G. lucidum (reishi) as a first-line treatment for cancer. It remains uncertain whether G. lucidum helps prolong long-term cancer survival. However, G. lucidum could be administered as an alternative adjunct to conventional treatment in consideration of its potential of enhancing tumour response and stimulating host immunity. [...] There are limitations of the results from this systematic review. First, most included studies were small and there were concerns on the methodological quality of individual trials. Second, all participants in the individual trials were recruited from the Chinese population. ",http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007731.pub2/abstract,,,5,,,2012,,,Cochrane review: Ganoderma lucidum (Reishi mushroom) for cancer treatment,,,,,,,,,,,,,
rockweed,"Ascophyllum nodosum, kelp (one of many species), egg wrack",1,appetite,weight control,alga,OTW,165,2,30,,Very preliminary evidence for reducing appetite.,,,"Hall et al 2012: In a small single blind study of 12 men, men who ate bread enriched with ascophyllum nodosum ate on average 16.4% fewer calories at a test meal 4 hours later than those who had consumed unenriched bread, yet the enriched bread did not appear to reduce hunger.",,,http://www.ncbi.nlm.nih.gov/pubmed/22100188,,50%,,,1,0.5,Hall et al 2012,,,,,,,,,,,,,
sage,Salvia officinalis,4,"Alzheimer's, memory, mood, anxiety",mental health,herb / spice,,586,4,114,,"Improvement in memory, attention, mood and anxiety levels consistently seen in studies.",,,"2008: Sage extract improved performance on secondary memory and attention tasks compared to placebo for several hours after the active dose was received. 2006: Dried sage leaf improved mood ratings in the absence of a stressor, reducing anxiety and increasing self-rated alertness, calmness and contentedness. A stressful test interfered with its effect however. 2010: even the aroma of sage can improve memory and mood to some extent. 2003: Sage extract for 4 months improved cognitive function in elderly patients with mild to moderate Alzheimers.",,,http://www.ncbi.nlm.nih.gov/pubmed/12605619,,100%,,,4,4,Akhondzadeh et al 2003,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/888/CN-00647888/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/252/CN-00561252/frame.html,http://www.ncbi.nlm.nih.gov/pubmed/20589925,,,,,,,,,
sage,Salvia officinalis,3,hot flushes,"women, men",herb / spice,,586,4,114,,Daily use may reduce hormonal hot flushes in both women and men. Combining with alfalfa may increase the effect.,,,"May reduce hormonal hot flushes in both women and men, but more research required. Review: Sage plus alfalfa (1 RCT, n=30): the RCT reported a significantly greater reduction in the frequency of hot flushes at 12 weeks compared with placebo. 2011: Fresh sage leaves once a day for 8 weeks reduced hot flushes among 71 menopausal women and was very well tolerated. 2012: 150mg of sage extract three times a day reduced hot flashes among 10 male prostate cancer patients treated with androgen deprivation therapy.",,http://onlinelibrary.wiley.com/o/cochrane/cldare/articles/DARE-12006005178/frame.html,,,100%,1,2013,2,2,Hanna et al 2005,,http://www.ncbi.nlm.nih.gov/pubmed/21630133,http://www.ncbi.nlm.nih.gov/pubmed/21630361,,,,,,,,,,
soy isoflavones,phytoestrogen,3,menopausal hot flushes,women,plant extract,,15482,30,523,,Can reduce the frequency and severity of hot flushes. ,,,2012: Soy isoflavone supplements are significantly more effective than placebo in reducing the frequency and severity of hot flashes. 2009: Some trials found a slight reduction in hot flushes and night sweats with phytoestrogen-based treatment but overall there was no indication that phytoestrogens worked any better than no treatment. Many of the trials were of low quality and were underpowered.,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD001395.pub3/abstract,http://www.ncbi.nlm.nih.gov/pubmed/22433977,,30,,,"2009, 2012",,,Cochrane review: Phytoestrogens for vasomotor menopausal symptoms,,,,,,,,,,,,,
strawberries,,2,"cardiovascular disease, cancer","general health, cardio, cancer",fruit,,13928,0,232,,Broad benefits noticed on cardiovascular and neurological health.,,,"Several reports have demonstrated various cardiovascular, antiproliferative, and neurologic benefits associated with the consumption of strawberries.",,http://www.ncbi.nlm.nih.gov/pubmed/22153122,,,,,2012,,,Giampieri et al 2012,,,,,,,,,,,,,
sweet potato,,3,type 2 diabetes,diabetes,vegetable,,6434,3,196,,Insufficient evidence that sweet potatoes are useful for type 2 diabetes sufferers.,,,There is insufficient evidence to recommend sweet potato for type 2 diabetes mellitus.,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009128.pub2/abstract,,,3,,,2012,,,Cochrane review: Sweet potato for type 2 diabetes mellitus,,,,,,,,,,,,,
tomatoes,,1,prostate cancer prevention,"men, cancer",fruit,,14265,3,270,,Tomatoes are high in lycopene. No robust evidence showing any effect on prostate cancer.,,,"Tomatoes are high in lycopene. No robust evidence from RCTs to identify the impact of lycopene consumption upon the incidence of prostate cancer, prostate symptoms, PSA levels or adverse events.",http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008007.pub2/abstract,,,3,,,2011,,,Cochrane review: Lycopene for the prevention of prostate cancer,,,,,,,,,,,,,
turmeric,"curcuma longa, curcumin (active ingredient)",3,IBS and other bowel diseases,digestion,herb / spice,OTW,"3,755",3,168,,"Curcumin, found in turmeric, is a potential treatment for ulcerative colitis, Crohn's disease, colonic cancer and IBS. But difficult for body to absorb in its natural form.",,,"2013 review: 'Various clinical studies have suggested that curcumin might be a potential candidate for the prevention and/or treatment of a variety of colonic diseases such as ulcerative colitis, Crohn's disease and colonic cancer. However, several evidences suggested the role of curcumin in multiple diseases, but the major challenge is to obtain optimum therapeutic levels of curcumin due to its low solubility and poor bioavailability.' A single 2004 pilot study (partially blinded, no control group), suggested turmeric might reduce symptoms of IBS. 2011 review: 'Curcumin has shown limited benefit for patients with psoriasis, inflammatory bowel disease (IBS), inflammatory eye diseases, familial adenomatous polyposis, and kidney transplantation (SOR: B, small, short randomized controlled trials [RCTs]).'",,,http://www.ncbi.nlm.nih.gov/pubmed/23768171,,100%,,,4,4,Sareen et al 2013,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/871/CN-00513871/frame.html,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3281215/,http://www.ncbi.nlm.nih.gov/pubmed/21369559,http://www.ncbi.nlm.nih.gov/pubmed/22122768,,,,,,,,
turmeric,"curcuma longa, curcumin (active ingredient)",3,"general health, anti-inflammatory","general health, cancer",herb / spice,OTW,"3,755",7,168,,"Used medicinally in China and India for thousands of years. Active ingredient, curcumin, a strong antioxidant and anti-inflammatory. Clinical studies promising but more needed. Could treat cancer and other chronic diseases. Hard to absorb, but could form basis for new drugs.",,,"2013 review: curcumin has anticancer, anti-inflammatory, antioxidant, antithrombotic, antiatherosclerotic, cardioprotective, neuroprotective, memory enhancing, antiparkinsonism, antirheumatic, anti-infectious, antiaging, antipsoriatic, and anticonvulsant activities. Second 2013 review: Preclinical studies point to mechanisms of action that are predominantly anti-inflammatory and antineoplastic, while early human clinical trials suggest beneficial effects for dyspepsia, peptic ulcer, inflammatory bowel disease, rheumatoid arthritis, osteoarthritis, uveitis, orbital pseudotumor, and pancreatic cancer. 2012 study of healthy middle aged people (19 low dose lipidated curcumin extract, 19 placebo for 4 weeks): Curcumin, but not placebo, produced the following statistically significant changes: lowering of plasma triglyceride values, lowering of salivary amylase levels, raising of salivary radical scavenging capacities, raising of plasma catalase activities, lowering of plasma beta amyloid protein concentrations, lowering of plasma sICAM readings, increased plasma myeloperoxidase without increased c-reactive protein levels, increased plasma nitric oxide, and decreased plasma alanine amino transferase activities. 2011 review: shows strong anti-oxidant and anti-inflammatory activities, might be a potential candidate for the prevention and/or treatment of cancer and other chronic diseases. ",,,http://www.ncbi.nlm.nih.gov/pubmed/23594449,,100%,,,7,7,Asher and Spelman 2013,,http://www.ncbi.nlm.nih.gov/pubmed/23239418,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/722/CN-00853722/frame.html,http://www.ncbi.nlm.nih.gov/pubmed/21642934,http://www.ncbi.nlm.nih.gov/pubmed/21986478,http://www.ncbi.nlm.nih.gov/pubmed/19594223,http://www.ncbi.nlm.nih.gov/pubmed/18662800,http://www.ncbi.nlm.nih.gov/pubmed/12680238,,,,,
walnuts,,4,"cholesterol, general health","cardio, general health",nut / seed,,4347,0,184,,,,,This review includes multiple studies that find promising results for tree nuts (but not conclusive evidence).,,http://www.ncbi.nlm.nih.gov/pubmed/22153059,,,,,2011,,,Bolling et al 2011,,,,,,,,,,,,,
wheatgrass juice,,1,general health,general health,plant extract,,3122,3,123,,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/17571966,,100%,,,3,,Bar-Sela et al 2007,,http://www.ncbi.nlm.nih.gov/pubmed/11989836,http://www.ncbi.nlm.nih.gov/pubmed/21715255,http://www.nature.com/scientificamerican/journal/v299/n2/full/scientificamerican0808-42.html,,,,,,,,,
wholegrains,,1,diabetes,diabetes,grain / pulse,,4090,12,186,,"A high intake of whole-grain foods cereal fibre (rice, wheat, corn, rye, oat & barley) is linked to a lower risk of types 2 diabetes.",,,"A high intake of whole grain foods or cereal fibre (rice, wheat, corn, rye oat and barley) is associated with a lower risk of the development of type 2 diabetes in prospective cohort studies. However, evidence for a protective effect coming from prospective cohort studies only has to be considered as weak as with this design no cause and effect relationship can be established. ",http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD006061.pub2/abstract,,,12,,,2009,,,Cochrane review: Whole grain foods for the prevention of type 2 diabetes mellitus,,,,,,,,,,,,,
"yoghurt, live",,4,"gut health, immune system","digestion, infections",microbe,,394,0,21,,"Probiotics show a lot of promise. Unfortunately, marketing and popularity has outpaced the research. So a lot of the health claims are not backed up and many are false. We're planning a visualisation clarifying probiotics very soon.",,,"Some—but not all—probiotic formulations have been widely studied and show considerable promise. However, the rapid growth in marketing and consumer interest and use has outpaced scientific research on the safety and efficacy of probiotics for specific health applications.",,,http://nccam.nih.gov/health/probiotics/introduction.htm,,,,,,,National Institutes of Health,,,,,,,,,,,,,
